group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control
13.0,0.20583333,1.0,7_10,1.0257731289739414,44.14,0.611921
13.0,0.20583333,1.0,8_1,1.0311012024042476,43.1,0.611921
13.0,0.20583333,1.0,8_2,1.0116585916469143,43.47,0.611921
13.0,0.20583333,1.0,8_3,1.0482524342151602,44.43,0.611921
13.0,0.20583333,1.0,8_4,1.008062447917731,44.11,0.611921
14.0,0.20986667,1.0,8_5,1.0902810204900508,44.53,0.611921
14.0,0.20986667,1.0,8_6,1.002209678,50.25,0.611921
14.0,0.20986667,1.0,8_7,1.029764001696326,47.48,0.611921
14.0,0.20986667,1.0,8_8,0.9102943337898804,43.71,0.611921
14.0,0.20986667,1.0,8_9,1.035944015,42.44,0.611921
1.0,0.20691667,1.5,1_1,0.9811347054392336,145.4,0.611921
1.0,0.20691667,1.5,1_2,0.9865154804770312,139.2,0.611921
1.0,0.20691667,1.5,1_3,1.047810871632104,133.3,0.611921
1.0,0.20691667,1.5,1_4,0.9983787287235124,138.8,0.611921
1.0,0.20691667,1.5,1_5,1.008642006844574,129.0,0.611921
2.0,0.20691667,1.5,1_6,0.9434002285458551,143.2,0.611921
2.0,0.20691667,1.5,1_7,0.9442255683213312,128.2,0.611921
2.0,0.20691667,1.5,1_8,0.9224365793442644,145.1,0.611921
2.0,0.20691667,1.5,1_9,0.9525590929925092,137.8,0.611921
2.0,0.20691667,1.5,1_10,1.0601617348813115,138.3,0.611921
3.0,0.20691667,1.5,2_1,0.9401132476262536,135.8,0.611921
3.0,0.20691667,1.5,2_2,0.9696753709195256,134.2,0.611921
3.0,0.20691667,1.5,2_3,0.9910447505367088,136.6,0.611921
3.0,0.20691667,1.5,2_4,0.9610410271600952,137.3,0.611921
3.0,0.20691667,1.5,2_5,1.0974608298585853,121.9,0.611921
4.0,0.20691667,1.5,2_6,0.9740509859109168,129.4,0.611921
4.0,0.20691667,1.5,2_7,1.0191184885497433,127.8,0.611921
4.0,0.20691667,1.5,2_8,0.9679361125742644,130.6,0.611921
4.0,0.20691667,1.5,2_9,0.9802436110675498,131.8,0.611921
4.0,0.20691667,1.5,2_10,1.077089710571784,120.0,0.611921
5.0,0.20691667,1.5,3_1,0.9328006351814708,129.7,0.611921
5.0,0.20691667,1.5,3_2,0.9352254996484828,138.8,0.611921
5.0,0.20691667,1.5,3_3,0.9740509859109168,144.6,0.611921
5.0,0.20691667,1.5,3_4,0.984715343,129.2,0.611921
5.0,0.20691667,1.5,3_5,0.9584806286547544,127.1,0.611921
6.0,0.20691667,1.5,3_6,0.9169507585948308,133.6,0.611921
6.0,0.20691667,1.5,3_7,0.97142089096928,130.6,0.611921
6.0,0.20691667,1.5,3_8,0.8538400805456768,133.8,0.611921
6.0,0.20691667,1.5,3_9,0.8276495641509213,136.1,0.611921
6.0,0.20691667,1.5,3_10,1.0278534182990309,123.1,0.611921
7.0,0.20691667,1.5,4_1,0.9584806286547544,129.8,0.611921
7.0,0.20691667,1.5,4_2,1.0114778075519486,122.2,0.611921
7.0,0.20691667,1.5,4_3,0.9731727065997342,127.9,0.611921
7.0,0.20691667,1.5,4_4,0.9534005430881112,131.1,0.611921
7.0,0.20691667,1.5,4_5,0.9838177357713176,140.4,0.611921
8.0,0.21,1.5,4_6,0.9802436110675498,126.3,0.611921
8.0,0.21,1.5,4_7,0.9740509859109168,126.9,0.611921
8.0,0.21,1.5,4_8,0.992868125014182,127.6,0.611921
8.0,0.21,1.5,4_9,1.0067602904605342,118.4,0.611921
8.0,0.21,1.5,4_10,0.984715343,124.1,0.611921
9.0,0.22168333,1.5,5_1,1.0249251851931571,119.7,0.611921
9.0,0.22168333,1.5,5_2,0.9123002963539838,119.1,0.611921
9.0,0.22168333,1.5,5_3,0.9169507585948308,117.6,0.611921
9.0,0.22168333,1.5,5_4,0.9946982213328236,118.2,0.611921
9.0,0.22168333,1.5,5_6,1.0307984313945218,115.1,0.611921
10.0,0.2312,1.5,5_7,0.95508791097933,116.4,0.611921
10.0,0.2312,1.5,5_8,0.9775800133690244,114.8,0.611921
10.0,0.2312,1.5,5_9,0.9130720948503356,123.5,0.611921
10.0,0.2312,1.5,5_10,0.9811347054392336,115.4,0.611921
10.0,0.2312,1.5,6_1,1.116303411716601,99.36,0.611921
11.0,0.21621667,1.5,6_2,1.0367393778172822,111.6,0.611921
11.0,0.21621667,1.5,6_3,0.9829217633526748,107.8,0.611921
11.0,0.21621667,1.5,6_4,1.035744469047072,106.4,0.611921
11.0,0.21621667,1.5,6_5,1.0105307705607818,115.3,0.611921
11.0,0.21621667,1.5,6_6,0.97142089096928,117.6,0.611921
12.0,0.21183333,1.5,6_7,0.9360365918174895,118.7,0.611921
12.0,0.21183333,1.5,6_8,0.9883222114846338,109.3,0.611921
12.0,0.21183333,1.5,6_9,0.9311910326147912,124.6,0.611921
