group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control,calibrated_count
5.0,0.20691667,1.5,3_5,0.9584806286547544,127.1,0.611921,121.82288790201927
6.0,0.20691667,1.5,3_6,0.9169507585948308,133.6,0.611921,122.50462134826938
6.0,0.20691667,1.5,3_7,0.97142089096928,130.6,0.611921,126.86756836058795
6.0,0.20691667,1.5,3_8,0.8538400805456768,133.8,0.611921,114.24380277701157
6.0,0.20691667,1.5,3_9,0.8276495641509213,136.1,0.611921,112.64310568094038
6.0,0.20691667,1.5,3_10,1.0278534182990309,123.1,0.611921,126.5287557926107
7.0,0.20691667,1.5,4_1,0.9584806286547544,129.8,0.611921,124.41078559938713
7.0,0.20691667,1.5,4_2,1.0114778075519486,122.2,0.611921,123.60258808284813
7.0,0.20691667,1.5,4_3,0.9731727065997342,127.9,0.611921,124.468789174106
7.0,0.20691667,1.5,4_4,0.9534005430881112,131.1,0.611921,124.99081119885138
7.0,0.20691667,1.5,4_5,0.9838177357713176,140.4,0.611921,138.128010102293
8.0,0.21,1.5,4_6,0.9802436110675498,126.3,0.611921,123.80476807783153
8.0,0.21,1.5,4_7,0.9740509859109168,126.9,0.611921,123.60707011209534
8.0,0.21,1.5,4_8,0.992868125014182,127.6,0.611921,126.68997275180962
8.0,0.21,1.5,4_9,1.0067602904605342,118.4,0.611921,119.20041839052725
8.0,0.21,1.5,4_10,0.984715343,124.1,0.611921,122.2031740663
9.0,0.22168333,1.5,5_1,1.0249251851931571,119.7,0.611921,122.68354466762091
9.0,0.22168333,1.5,5_2,0.9123002963539838,119.1,0.611921,108.65496529575947
9.0,0.22168333,1.5,5_3,0.9169507585948308,117.6,0.611921,107.8334092107521
9.0,0.22168333,1.5,5_4,0.9946982213328236,118.2,0.611921,117.57332976153975
9.0,0.22168333,1.5,5_6,1.0307984313945218,115.1,0.611921,118.64489945350945
10.0,0.2312,1.5,5_7,0.95508791097933,116.4,0.611921,111.17223283799402
10.0,0.2312,1.5,5_8,0.9775800133690244,114.8,0.611921,112.226185534764
10.0,0.2312,1.5,5_9,0.9130720948503356,123.5,0.611921,112.76440371401644
10.0,0.2312,1.5,5_10,0.9811347054392336,115.4,0.611921,113.22294500768757
10.0,0.2312,1.5,6_1,1.116303411716601,99.36,0.611921,110.91590698816148
11.0,0.21621667,1.5,6_2,1.0367393778172822,111.6,0.611921,115.7001145644087
11.0,0.21621667,1.5,6_3,0.9829217633526748,107.8,0.611921,105.95896608941834
11.0,0.21621667,1.5,6_4,1.035744469047072,106.4,0.611921,110.20321150660847
11.0,0.21621667,1.5,6_5,1.0105307705607818,115.3,0.611921,116.51419784565813
11.0,0.21621667,1.5,6_6,0.97142089096928,117.6,0.611921,114.23909677798731
12.0,0.21183333,1.5,6_7,0.9360365918174895,118.7,0.611921,111.10754344873601
12.0,0.21183333,1.5,6_8,0.9883222114846338,109.3,0.611921,108.02361771527048
12.0,0.21183333,1.5,6_9,0.9311910326147912,124.6,0.611921,116.02640266380298
12.0,0.21183333,1.5,6_10,0.9475414192127086,122.7,0.611921,116.26333213739935
12.0,0.21183333,1.5,7_1,0.9384783315662522,118.2,0.611921,110.928138791131
13.0,0.20583333,1.5,7_2,1.0152837729615625,109.7,0.611921,111.3766298938834
13.0,0.20583333,1.5,7_3,0.9919555998620154,112.4,0.611921,111.49580942449055
13.0,0.20583333,1.5,7_4,1.1682613310895698,96.86,0.611921,113.15779252933572
13.0,0.20583333,1.5,7_5,0.9946982213328236,113.6,0.611921,112.99771794340876
13.0,0.20583333,1.5,7_6,1.1209409340516676,111.8,0.611921,125.32119642697644
14.0,0.20986667,1.5,7_7,1.012426621,114.2,0.611921,115.61912011819999
14.0,0.20986667,1.5,7_8,0.9865154804770312,112.9,0.611921,111.37759774585683
14.0,0.20986667,1.5,7_9,0.9802436110675498,117.7,0.611921,115.37467302265061
14.0,0.20986667,1.5,7_10,0.9775800133690244,115.8,0.611921,113.20376554813303
14.0,0.20986667,1.5,8_1,0.9679361125742644,116.6,0.611921,112.86135072615922
