group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control
4,0.20691667,1.5,2_7,1.0191184885497433,127.8000,0.611921
4,0.20691667,1.5,2_8,0.9679361125742645,130.6000,0.611921
4,0.20691667,1.5,2_9,0.9802436110675498,131.8000,0.611921
4,0.20691667,1.5,2_10,1.077089710571784,120.0000,0.611921
5,0.20691667,1.5,3_1,0.9328006351814708,129.7000,0.611921
5,0.20691667,1.5,3_2,0.9352254996484827,138.8000,0.611921
5,0.20691667,1.5,3_3,0.9740509859109169,144.6000,0.611921
5,0.20691667,1.5,3_4,0.984715343,129.2000,0.611921
5,0.20691667,1.5,3_5,0.9584806286547544,127.1000,0.611921
6,0.20691667,1.5,3_6,0.9169507585948309,133.6000,0.611921
6,0.20691667,1.5,3_7,0.9714208909692799,130.6000,0.611921
6,0.20691667,1.5,3_8,0.8538400805456768,133.8000,0.611921
6,0.20691667,1.5,3_9,0.8276495641509213,136.1000,0.611921
6,0.20691667,1.5,3_10,1.0278534182990309,123.1000,0.611921
7,0.20691667,1.5,4_1,0.9584806286547544,129.8000,0.611921
7,0.20691667,1.5,4_2,1.0114778075519486,122.2000,0.611921
7,0.20691667,1.5,4_3,0.9731727065997342,127.9000,0.611921
7,0.20691667,1.5,4_4,0.9534005430881113,131.1000,0.611921
7,0.20691667,1.5,4_5,0.9838177357713176,140.4000,0.611921
8,0.21,1.5,4_6,0.9802436110675498,126.3000,0.611921
8,0.21,1.5,4_7,0.9740509859109169,126.9000,0.611921
8,0.21,1.5,4_8,0.9928681250141821,127.6000,0.611921
8,0.21,1.5,4_9,1.0067602904605342,118.4000,0.611921
8,0.21,1.5,4_10,0.984715343,124.1000,0.611921
9,0.22168333,1.5,5_1,1.0249251851931573,119.7000,0.611921
9,0.22168333,1.5,5_2,0.9123002963539838,119.1000,0.611921
9,0.22168333,1.5,5_3,0.9169507585948309,117.6000,0.611921
9,0.22168333,1.5,5_4,0.9946982213328237,118.2000,0.611921
9,0.22168333,1.5,5_6,1.0307984313945218,115.1000,0.611921
10,0.2312,1.5,5_7,0.9550879109793299,116.4000,0.611921
10,0.2312,1.5,5_8,0.9775800133690243,114.8000,0.611921
10,0.2312,1.5,5_9,0.9130720948503355,123.5000,0.611921
10,0.2312,1.5,5_10,0.9811347054392335,115.4000,0.611921
10,0.2312,1.5,6_1,1.116303411716601,99.3600,0.611921
11,0.21621667,1.5,6_2,1.0367393778172822,111.6000,0.611921
11,0.21621667,1.5,6_3,0.9829217633526747,107.8000,0.611921
11,0.21621667,1.5,6_4,1.035744469047072,106.4000,0.611921
11,0.21621667,1.5,6_5,1.0105307705607818,115.3000,0.611921
11,0.21621667,1.5,6_6,0.9714208909692799,117.6000,0.611921
12,0.21183333,1.5,6_7,0.9360365918174895,118.7000,0.611921
12,0.21183333,1.5,6_8,0.9883222114846338,109.3000,0.611921
12,0.21183333,1.5,6_9,0.9311910326147913,124.6000,0.611921
12,0.21183333,1.5,6_10,0.9475414192127086,122.7000,0.611921
12,0.21183333,1.5,7_1,0.9384783315662522,118.2000,0.611921
13,0.20583333,1.5,7_2,1.0152837729615625,109.7000,0.611921
