group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead
1,1.0,101,11_1,linearity,0.995,10.0,3000.0,3000.0,41.49,152.0000
1,1.0,102,11_2,linearity,0.995,10.0,3000.0,3000.0,45.95,151.9000
1,1.0,103,11_3,linearity,0.995,10.0,3000.0,3000.0,37.56,156.8000
1,1.0,104,11_4,linearity,0.995,10.0,3000.0,3000.0,37.99,140.2000
1,1.0,105,11_5,linearity,0.995,10.0,5000.0,5000.0,37.25,246.7000
1,1.0,106,11_6,linearity,0.995,10.0,5000.0,5000.0,39.41,250.8000
1,1.0,107,11_7,linearity,0.995,10.0,5000.0,5000.0,37.34,269.2000
1,1.0,108,11_8,linearity,0.995,10.0,5000.0,5000.0,45.48,255.9000
1,1.0,110,11_10,linearity,0.995,10.0,0.0,0.0,38.82,0.5604
1,1.0,111,12_1,linearity,0.995,10.0,0.0,0.0,39.91,0.5331
1,1.0,112,12_2,linearity,0.995,10.0,0.0,0.0,37.54,0.5327
1,1.0,113,12_3,linearity,0.995,10.0,0.0,0.0,37.18,0.6763
1,1.0,114,12_4,linearity,0.995,10.0,0.0,0.0,38.98,0.6064
1,1.0,115,12_5,dose_rate,0.995,6.0,200.0,600.0,37.63,9.4940
1,1.0,116,12_6,dose_rate,0.995,6.0,200.0,600.0,36.8,9.3130
1,1.0,117,12_7,dose_rate,0.995,6.0,200.0,600.0,37.69,9.9690
1,1.0,118,12_8,dose_rate,0.995,6.0,200.0,600.0,37.88,9.8850
1,1.0,119,12_9,dose_rate,0.995,6.0,200.0,600.0,38.52,10.0100
1,1.0,120,12_10,dose_rate,0.995,6.0,200.0,500.0,39.33,10.4700
1,1.0,122,13_2,dose_rate,0.995,6.0,200.0,500.0,45.33,10.0100
1,1.0,123,13_3,dose_rate,0.995,6.0,200.0,500.0,37.97,9.6490
1,1.0,124,13_4,dose_rate,0.995,6.0,200.0,500.0,40.04,9.4740
1,1.0,125,13_5,dose_rate,0.995,6.0,200.0,500.0,38.52,9.5380
1,1.0,126,13_6,dose_rate,0.995,6.0,200.0,400.0,37.6,9.8080
1,1.0,127,13_7,dose_rate,0.995,6.0,200.0,400.0,40.63,10.2900
1,1.0,128,13_8,dose_rate,0.995,6.0,200.0,400.0,39.82,9.7850
1,1.0,129,13_9,dose_rate,0.995,6.0,200.0,400.0,39.92,10.2400
1,1.0,130,13_10,dose_rate,0.995,6.0,200.0,400.0,39.19,10.0100
1,1.0,131,14_1,dose_rate,0.995,6.0,200.0,300.0,43.92,9.6240
1,1.0,132,14_2,dose_rate,0.995,6.0,200.0,300.0,37.79,9.2100
1,1.0,133,14_3,dose_rate,0.995,6.0,200.0,300.0,37.69,9.8870
1,1.0,134,14_4,dose_rate,0.995,6.0,200.0,300.0,44.25,10.1100
1,1.0,135,14_5,dose_rate,0.995,6.0,200.0,300.0,38.38,9.7400
1,1.0,136,14_6,dose_rate,0.995,6.0,200.0,200.0,39.69,9.4310
1,1.0,137,14_7,dose_rate,0.995,6.0,200.0,200.0,39.5,10.2600
1,1.0,138,14_8,dose_rate,0.995,6.0,200.0,200.0,37.63,9.9200
1,1.0,139,14_9,dose_rate,0.995,6.0,200.0,200.0,39.27,9.4550
1,1.0,140,14_10,dose_rate,0.995,6.0,200.0,200.0,40.72,10.3900
1,1.0,141,15_1,dose_rate,0.995,6.0,200.0,100.0,38.27,10.1100
1,1.0,142,15_2,dose_rate,0.995,6.0,200.0,100.0,38.3,9.8650
1,1.0,143,15_3,dose_rate,0.995,6.0,200.0,100.0,39.8,10.2800
1,1.0,144,15_4,dose_rate,0.995,6.0,200.0,100.0,39.38,9.9670
1,1.0,145,15_5,dose_rate,0.995,6.0,200.0,100.0,38.13,10.4400
1,1.0,146,15_6,dose_rate,0.995,6.0,200.0,80.0,39.3,10.1500
1,1.0,147,15_7,dose_rate,0.995,6.0,200.0,80.0,38.66,9.5210
1,1.0,148,15_8,dose_rate,0.995,6.0,200.0,80.0,39.49,10.4500
1,1.0,149,15_9,dose_rate,0.995,6.0,200.0,80.0,39.57,9.8990
1,1.0,150,15_10,dose_rate,0.995,6.0,200.0,80.0,39.3,9.5160
2,1.0,151,16_1,dose_rate,0.995,6.0,200.0,60.0,40.42,9.7170
2,1.0,152,16_2,dose_rate,0.995,6.0,200.0,60.0,36.1,9.8390
2,1.0,153,16_3,dose_rate,0.995,6.0,200.0,60.0,48.04,10.9700
2,1.0,154,16_4,dose_rate,0.995,6.0,200.0,60.0,38.39,9.8250
2,1.0,155,16_5,dose_rate,0.995,6.0,200.0,60.0,38.0,8.9840
2,1.0,156,16_6,dose_rate,0.995,6.0,200.0,0.0,37.85,0.5108
2,1.0,157,16_7,dose_rate,0.995,6.0,200.0,0.0,38.02,0.5259
2,1.0,158,16_8,dose_rate,0.995,6.0,200.0,0.0,39.57,0.5849
2,1.0,159,16_9,dose_rate,0.995,6.0,200.0,0.0,39.97,0.8769
2,1.0,160,16_10,dose_rate,0.995,6.0,200.0,0.0,41.15,0.7336
2,1.0,161,17_1,dose_rate,0.995,10.0,200.0,2400.0,40.27,10.3300
2,1.0,162,17_2,dose_rate,0.995,10.0,200.0,2400.0,38.49,9.6840
2,1.0,163,17_3,dose_rate,0.995,10.0,200.0,2400.0,38.48,9.9030
2,1.0,164,17_4,dose_rate,0.995,10.0,200.0,2400.0,41.72,10.2100
2,1.0,165,17_5,dose_rate,0.995,10.0,200.0,2400.0,38.03,9.5890
2,1.0,169,17_9,dose_rate,0.995,10.0,200.0,2000.0,40.08,9.7820
2,1.0,170,17_10,dose_rate,0.995,10.0,200.0,2000.0,38.64,11.2900
2,1.0,171,18_1,dose_rate,0.995,10.0,200.0,2000.0,39.85,9.5570
2,1.0,173,18_3,dose_rate,0.995,10.0,200.0,2000.0,42.92,9.3760
2,1.0,174,18_4,dose_rate,0.995,10.0,200.0,2000.0,37.73,9.6410
2,1.0,175,18_5,dose_rate,0.995,10.0,200.0,1600.0,38.83,9.9760
2,1.0,176,18_6,dose_rate,0.995,10.0,200.0,1600.0,38.72,9.8880
2,1.0,177,18_7,dose_rate,0.995,10.0,200.0,1600.0,37.68,10.1200
2,1.0,178,18_8,dose_rate,0.995,10.0,200.0,1600.0,43.81,9.6310
2,1.0,179,18_9,dose_rate,0.995,10.0,200.0,1600.0,38.15,10.4600
2,1.0,180,18_10,dose_rate,0.995,10.0,200.0,1200.0,38.12,9.3780
2,1.0,181,19_1,dose_rate,0.995,10.0,200.0,1200.0,40.46,10.4100
2,1.0,182,19_2,dose_rate,0.995,10.0,200.0,1200.0,38.59,11.0300
2,1.0,183,19_3,dose_rate,0.995,10.0,200.0,1200.0,37.57,10.5500
2,1.0,184,19_4,dose_rate,0.995,10.0,200.0,1200.0,39.95,9.9890
2,1.0,185,19_5,dose_rate,0.995,10.0,200.0,800.0,41.33,10.5800
2,1.0,186,19_6,dose_rate,0.995,10.0,200.0,800.0,39.31,9.7960
2,1.0,187,19_7,dose_rate,0.995,10.0,200.0,800.0,37.92,9.5650
2,1.0,188,19_8,dose_rate,0.995,10.0,200.0,800.0,37.23,9.4870
2,1.0,189,19_9,dose_rate,0.995,10.0,200.0,800.0,39.74,10.2300
2,1.0,191,20_1,dose_rate,0.995,10.0,200.0,4000.0,39.57,9.5310
2,1.0,192,20_2,dose_rate,0.995,10.0,200.0,4000.0,38.48,9.9680
2,1.0,193,20_3,dose_rate,0.995,10.0,200.0,4000.0,39.22,10.6800
2,1.0,194,20_4,dose_rate,0.995,10.0,200.0,4000.0,39.22,9.5990
2,1.0,195,20_5,dose_rate,0.995,10.0,200.0,0.0,38.88,0.5964
2,1.0,196,20_6,dose_rate,0.995,10.0,200.0,0.0,41.82,0.5696
2,1.0,197,20_7,dose_rate,0.995,10.0,200.0,0.0,43.23,0.5064
2,1.0,198,20_8,dose_rate,0.995,10.0,200.0,0.0,37.79,0.4709
2,1.0,210,21_10,energy_resp,1.004,0.06,200.0,0.06,38.83,35.7000
2,1.0,211,22_1,energy_resp,1.004,0.06,200.0,0.06,40.61,38.0800
2,1.0,212,22_2,energy_resp,1.004,0.06,200.0,0.06,36.19,33.6100
2,1.0,213,22_3,energy_resp,1.004,0.06,200.0,0.06,36.96,39.9200
2,1.0,214,22_4,energy_resp,1.004,0.06,200.0,0.06,39.4,38.2300
2,1.0,215,22_5,energy_resp,1.002,0.1,200.0,0.1,40.85,36.4700
2,1.0,216,22_6,energy_resp,1.002,0.1,200.0,0.1,36.84,35.0700
2,1.0,217,22_7,energy_resp,1.002,0.1,200.0,0.1,40.11,35.8100
2,1.0,218,22_8,energy_resp,1.002,0.1,200.0,0.1,39.06,38.0800
2,1.0,219,22_9,energy_resp,1.002,0.1,200.0,0.1,39.5,35.7600
2,1.0,220,22_10,energy_resp,1.006,0.18,200.0,0.18,38.85,28.4100
2,1.0,221,23_1,energy_resp,1.006,0.18,200.0,0.18,39.57,27.1900
2,1.0,222,23_2,energy_resp,1.006,0.18,200.0,0.18,39.34,28.5700
2,1.0,223,23_3,energy_resp,1.006,0.18,200.0,0.18,38.95,26.6900
2,1.0,224,23_4,energy_resp,1.006,0.18,200.0,0.18,40.69,30.3900
2,1.0,225,23_5,energy_resp,1.003,0.22,200.0,0.22,40.06,17.7800
2,1.0,226,23_6,energy_resp,1.003,0.22,200.0,0.22,38.26,16.4800
2,1.0,227,23_7,energy_resp,1.003,0.22,200.0,0.22,39.61,16.2500
2,1.0,228,23_8,energy_resp,1.003,0.22,200.0,0.22,37.92,18.0000
2,1.0,229,23_9,energy_resp,1.003,0.22,200.0,0.22,41.71,19.6600
2,1.0,230,23_10,energy_resp,1.002,0.15,200.0,0.15,37.58,29.1400
2,1.0,231,24_1,energy_resp,1.002,0.15,200.0,0.15,38.09,30.2800
2,1.0,232,24_2,energy_resp,1.002,0.15,200.0,0.15,37.5,32.2500
2,1.0,233,24_3,energy_resp,1.002,0.15,200.0,0.15,39.16,29.9800
2,1.0,234,24_4,energy_resp,1.002,0.15,200.0,0.15,37.38,27.9300
2,1.0,235,24_5,energy_resp,0.995,6.0,200.0,6.0,38.74,9.8480
2,1.0,236,24_6,energy_resp,0.995,6.0,200.0,6.0,37.58,10.8800
2,1.0,237,24_7,energy_resp,0.995,6.0,200.0,6.0,38.2,9.6720
2,1.0,238,24_8,energy_resp,0.995,6.0,200.0,6.0,38.61,9.8810
2,1.0,239,24_9,energy_resp,0.995,6.0,200.0,6.0,38.13,9.9670
2,1.0,240,24_10,energy_resp,0.995,10.0,200.0,10.0,38.39,9.4850
2,1.0,241,25_1,energy_resp,0.995,10.0,200.0,10.0,37.15,9.6220
2,1.0,242,25_2,energy_resp,0.995,10.0,200.0,10.0,38.18,9.5930
2,1.0,243,25_3,energy_resp,0.995,10.0,200.0,10.0,38.61,10.0100
2,1.0,244,25_4,energy_resp,0.995,10.0,200.0,10.0,38.83,9.6070
2,1.0,245,25_5,energy_resp,0.995,10.0,200.0,10.0,39.06,9.2640
2,1.0,246,25_6,energy_resp,0.995,10.0,200.0,10.0,38.46,9.8590
2,1.0,247,25_7,energy_resp,0.995,10.0,200.0,10.0,36.12,8.9480
2,1.0,248,25_8,energy_resp,0.995,10.0,200.0,10.0,39.73,10.1400
2,1.0,249,25_9,energy_resp,0.995,10.0,200.0,10.0,37.52,9.6150
2,1.0,250,25_10,energy_resp,0.0,0.0,200.0,0.0,36.83,0.6445
2,1.0,251,26_1,energy_resp,0.0,0.0,200.0,0.0,42.19,0.6133
2,1.0,252,26_2,energy_resp,0.0,0.0,200.0,0.0,37.97,0.6052
2,1.0,253,26_3,energy_resp,0.0,0.0,200.0,0.0,38.49,0.6589
2,1.0,254,26_4,energy_resp,0.0,0.0,200.0,0.0,41.88,0.8209
3,1.5,1,1_1,linearity,0.995,6.0,10.0,10.0,110.2,1.9110
3,1.5,2,1_2,linearity,0.995,6.0,10.0,10.0,109.6,1.8120
3,1.5,3,1_3,linearity,0.995,6.0,10.0,10.0,103.2,1.7940
3,1.5,4,1_4,linearity,0.995,6.0,10.0,10.0,108.3,1.9590
3,1.5,5,1_5,linearity,0.995,6.0,10.0,10.0,107.2,2.2970
3,1.5,6,1_6,linearity,0.995,6.0,25.0,25.0,114.6,3.5110
3,1.5,7,1_7,linearity,0.995,6.0,25.0,25.0,114.5,3.8540
3,1.5,8,1_8,linearity,0.995,6.0,25.0,25.0,117.2,3.9090
3,1.5,9,1_9,linearity,0.995,6.0,25.0,25.0,113.5,3.7230
3,1.5,10,1_10,linearity,0.995,6.0,25.0,25.0,102.0,3.6320
3,1.5,11,2_1,linearity,0.995,6.0,50.0,50.0,115.0,6.9740
3,1.5,12,2_2,linearity,0.995,6.0,50.0,50.0,111.5,6.4610
3,1.5,13,2_3,linearity,0.995,6.0,50.0,50.0,109.1,7.0050
3,1.5,14,2_4,linearity,0.995,6.0,50.0,50.0,112.5,7.4050
3,1.5,15,2_5,linearity,0.995,6.0,50.0,50.0,98.54,6.4060
3,1.5,16,2_6,linearity,0.995,6.0,100.0,100.0,111.0,13.5800
3,1.5,17,2_7,linearity,0.995,6.0,100.0,100.0,106.1,13.9300
3,1.5,18,2_8,linearity,0.995,6.0,100.0,100.0,111.7,13.1500
3,1.5,19,2_9,linearity,0.995,6.0,100.0,100.0,110.3,12.5500
3,1.5,20,2_10,linearity,0.995,6.0,100.0,100.0,100.4,11.8800
3,1.5,21,3_1,linearity,0.995,6.0,250.0,250.0,115.9,30.8600
3,1.5,22,3_2,linearity,0.995,6.0,250.0,250.0,115.6,38.3100
3,1.5,23,3_3,linearity,0.995,6.0,250.0,250.0,111.0,35.5100
3,1.5,24,3_4,linearity,0.995,6.0,250.0,250.0,109.8,31.6900
3,1.5,25,3_5,linearity,0.995,6.0,250.0,250.0,112.8,31.0500
3,1.5,26,3_6,linearity,0.995,6.0,500.0,500.0,117.9,66.6000
3,1.5,27,3_7,linearity,0.995,6.0,500.0,500.0,111.3,62.4100
3,1.5,28,3_8,linearity,0.995,6.0,500.0,500.0,126.6,63.2800
3,1.5,29,3_9,linearity,0.995,6.0,500.0,500.0,130.6,64.0700
3,1.5,30,3_10,linearity,0.995,6.0,500.0,500.0,105.2,62.5000
3,1.5,31,4_1,linearity,0.995,6.0,1000.0,1000.0,112.8,130.4000
3,1.5,32,4_2,linearity,0.995,6.0,1000.0,1000.0,106.9,130.5000
3,1.5,33,4_3,linearity,0.995,6.0,1000.0,1000.0,111.1,135.7000
3,1.5,34,4_4,linearity,0.995,6.0,1000.0,1000.0,113.4,126.0000
3,1.5,35,4_5,linearity,0.995,6.0,1000.0,1000.0,109.9,120.9000
3,1.5,36,4_6,linearity,0.995,6.0,2000.0,2000.0,110.3,268.0000
3,1.5,37,4_7,linearity,0.995,6.0,2000.0,2000.0,111.0,254.7000
3,1.5,38,4_8,linearity,0.995,6.0,2000.0,2000.0,108.9,254.1000
3,1.5,39,4_9,linearity,0.995,6.0,2000.0,2000.0,107.4,244.3000
3,1.5,40,4_10,linearity,0.995,6.0,2000.0,2000.0,109.8,258.8000
3,1.5,41,5_1,linearity,0.995,6.0,3000.0,3000.0,105.5,382.3000
3,1.5,42,5_2,linearity,0.995,6.0,3000.0,3000.0,118.5,384.6000
3,1.5,43,5_3,linearity,0.995,6.0,3000.0,3000.0,117.9,373.8000
3,1.5,44,5_4,linearity,0.995,6.0,3000.0,3000.0,108.7,419.1000
3,1.5,45,5_5,linearity,0.995,6.0,3000.0,3000.0,107.7,383.1000
3,1.5,46,5_6,linearity,0.995,6.0,5000.0,5000.0,104.9,597.0000
3,1.5,47,5_7,linearity,0.995,6.0,5000.0,5000.0,113.2,772.4000
3,1.5,48,5_8,linearity,0.995,6.0,5000.0,5000.0,110.6,656.7000
3,1.5,49,5_9,linearity,0.995,6.0,5000.0,5000.0,118.4,709.6000
3,1.5,50,5_10,linearity,0.995,6.0,5000.0,5000.0,110.2,626.1000
3,1.5,51,6_1,linearity,0.995,6.0,0.0,0.0,96.88,0.6247
3,1.5,52,6_2,linearity,0.995,6.0,0.0,0.0,104.3,0.7103
3,1.5,53,6_3,linearity,0.995,6.0,0.0,0.0,110.0,0.7295
3,1.5,54,6_4,linearity,0.995,6.0,0.0,0.0,104.4,0.6757
3,1.5,55,6_5,linearity,0.995,6.0,0.0,0.0,107.0,1.2020
3,1.5,56,6_6,linearity,0.995,10.0,10.0,10.0,111.3,2.0880
3,1.5,57,6_7,linearity,0.995,10.0,10.0,10.0,115.5,2.0060
3,1.5,58,6_8,linearity,0.995,10.0,10.0,10.0,109.4,1.7440
3,1.5,59,6_9,linearity,0.995,10.0,10.0,10.0,116.1,1.7980
3,1.5,60,6_10,linearity,0.995,10.0,10.0,10.0,114.1,1.9710
3,1.5,61,7_1,linearity,0.995,10.0,25.0,25.0,115.2,3.6170
3,1.5,62,7_2,linearity,0.995,10.0,25.0,25.0,106.5,3.4060
3,1.5,63,7_3,linearity,0.995,10.0,25.0,25.0,109.0,3.4550
3,1.5,64,7_4,linearity,0.995,10.0,25.0,25.0,92.58,3.0330
3,1.5,65,7_5,linearity,0.995,10.0,25.0,25.0,108.7,3.6130
3,1.5,66,7_6,linearity,0.995,10.0,50.0,50.0,96.48,6.8060
3,1.5,67,7_7,linearity,0.995,10.0,50.0,50.0,106.8,7.6400
3,1.5,68,7_8,linearity,0.995,10.0,50.0,50.0,109.6,6.7950
3,1.5,69,7_9,linearity,0.995,10.0,50.0,50.0,110.3,7.0110
3,1.5,70,7_10,linearity,0.995,10.0,50.0,50.0,110.6,6.9790
3,1.5,71,8_1,linearity,0.995,10.0,100.0,100.0,111.7,12.9700
3,1.5,72,8_2,linearity,0.995,10.0,100.0,100.0,107.7,12.7700
3,1.5,73,8_3,linearity,0.995,10.0,100.0,100.0,110.5,13.6200
3,1.5,74,8_4,linearity,0.995,10.0,100.0,100.0,107.4,13.0400
3,1.5,75,8_5,linearity,0.995,10.0,100.0,100.0,110.3,13.3500
3,1.5,76,8_6,linearity,0.995,10.0,250.0,250.0,107.0,35.6900
3,1.5,77,8_7,linearity,0.995,10.0,250.0,250.0,104.9,32.6200
3,1.5,78,8_8,linearity,0.995,10.0,250.0,250.0,105.7,31.7000
3,1.5,79,8_9,linearity,0.995,10.0,250.0,250.0,103.1,32.2000
3,1.5,80,8_10,linearity,0.995,10.0,250.0,250.0,108.0,31.7400
3,1.5,81,9_1,linearity,0.995,10.0,500.0,500.0,106.4,62.6300
3,1.5,82,9_2,linearity,0.995,10.0,500.0,500.0,114.5,65.6500
3,1.5,83,9_3,linearity,0.995,10.0,500.0,500.0,103.7,62.9400
3,1.5,84,9_4,linearity,0.995,10.0,500.0,500.0,112.8,65.8600
3,1.5,85,9_5,linearity,0.995,10.0,500.0,500.0,112.5,64.4700
3,1.5,86,9_6,linearity,0.995,10.0,1000.0,1000.0,111.9,125.9000
3,1.5,87,9_7,linearity,0.995,10.0,1000.0,1000.0,105.5,120.8000
3,1.5,88,9_8,linearity,0.995,10.0,1000.0,1000.0,107.2,124.7000
3,1.5,89,9_9,linearity,0.995,10.0,1000.0,1000.0,116.3,130.9000
3,1.5,90,9_10,linearity,0.995,10.0,1000.0,1000.0,107.9,126.7000
3,1.5,91,10_1,linearity,0.995,10.0,2000.0,2000.0,111.5,268.2000
