group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,SCF_bead,raw_bead
2,1,195,20_5,dose_rate,0.995,10,200,0,38.88,0.5964
2,1,196,20_6,dose_rate,0.995,10,200,0,41.82,0.5696
2,1,197,20_7,dose_rate,0.995,10,200,0,43.23,0.5064
2,1,198,20_8,dose_rate,0.995,10,200,0,37.79,0.4709
2,1,199,20_9,dose_rate,0.995,10,,,37.25,lost
2,1,200,20_10,,,,,,39.36,
2,1,201,21_1,,,,,,38.93,
2,1,202,21_2,,,,,,40.47,
2,1,203,21_3,,,,,,40.86,
2,1,204,21_4,,,,,,38.95,
2,1,205,21_5,,,,,,38.42,
2,1,206,21_6,,,,,,36.37,
2,1,207,21_7,,,,,,39.8,
2,1,208,21_8,,,,,,39.61,
2,1,209,21_9,,,,,,40.9,
2,1,210,21_10,energy_resp,1.004,0.06,200,0.06,38.83,35.7000
2,1,211,22_1,energy_resp,1.004,0.06,200,0.06,40.61,38.0800
2,1,212,22_2,energy_resp,1.004,0.06,200,0.06,36.19,33.6100
2,1,213,22_3,energy_resp,1.004,0.06,200,0.06,36.96,39.9200
2,1,214,22_4,energy_resp,1.004,0.06,200,0.06,39.4,38.2300
2,1,215,22_5,energy_resp,1.002,0.1,200,0.1,40.85,36.4700
2,1,216,22_6,energy_resp,1.002,0.1,200,0.1,36.84,35.0700
2,1,217,22_7,energy_resp,1.002,0.1,200,0.1,40.11,35.8100
2,1,218,22_8,energy_resp,1.002,0.1,200,0.1,39.06,38.0800
2,1,219,22_9,energy_resp,1.002,0.1,200,0.1,39.5,35.7600
2,1,220,22_10,energy_resp,1.006,0.18,200,0.18,38.85,28.4100
2,1,221,23_1,energy_resp,1.006,0.18,200,0.18,39.57,27.1900
2,1,222,23_2,energy_resp,1.006,0.18,200,0.18,39.34,28.5700
2,1,223,23_3,energy_resp,1.006,0.18,200,0.18,38.95,26.6900
2,1,224,23_4,energy_resp,1.006,0.18,200,0.18,40.69,30.3900
2,1,225,23_5,energy_resp,1.003,0.22,200,0.22,40.06,17.7800
2,1,226,23_6,energy_resp,1.003,0.22,200,0.22,38.26,16.4800
2,1,227,23_7,energy_resp,1.003,0.22,200,0.22,39.61,16.2500
2,1,228,23_8,energy_resp,1.003,0.22,200,0.22,37.92,18.0000
2,1,229,23_9,energy_resp,1.003,0.22,200,0.22,41.71,19.6600
2,1,230,23_10,energy_resp,1.002,0.15,200,0.15,37.58,29.1400
2,1,231,24_1,energy_resp,1.002,0.15,200,0.15,38.09,30.2800
2,1,232,24_2,energy_resp,1.002,0.15,200,0.15,37.5,32.2500
2,1,233,24_3,energy_resp,1.002,0.15,200,0.15,39.16,29.9800
2,1,234,24_4,energy_resp,1.002,0.15,200,0.15,37.38,27.9300
2,1,235,24_5,energy_resp,0.995,6,200,6,38.74,9.8480
2,1,236,24_6,energy_resp,0.995,6,200,6,37.58,10.8800
2,1,237,24_7,energy_resp,0.995,6,200,6,38.2,9.6720
2,1,238,24_8,energy_resp,0.995,6,200,6,38.61,9.8810
2,1,239,24_9,energy_resp,0.995,6,200,6,38.13,9.9670
2,1,240,24_10,energy_resp,0.995,10,200,10,38.39,9.4850
2,1,241,25_1,energy_resp,0.995,10,200,10,37.15,9.6220
2,1,242,25_2,energy_resp,0.995,10,200,10,38.18,9.5930
2,1,243,25_3,energy_resp,0.995,10,200,10,38.61,10.0100
2,1,244,25_4,energy_resp,0.995,10,200,10,38.83,9.6070
2,1,245,25_5,energy_resp,0.995,10,200,10,39.06,9.2640
2,1,246,25_6,energy_resp,0.995,10,200,10,38.46,9.8590
2,1,247,25_7,energy_resp,0.995,10,200,10,36.12,8.9480
2,1,248,25_8,energy_resp,0.995,10,200,10,39.73,10.1400
2,1,249,25_9,energy_resp,0.995,10,200,10,37.52,9.6150
2,1,250,25_10,energy_resp,0.000,0,200,0,36.83,0.6445
2,1,251,26_1,energy_resp,0.000,0,200,0,42.19,0.6133
2,1,252,26_2,energy_resp,0.000,0,200,0,37.97,0.6052
2,1,253,26_3,energy_resp,0.000,0,200,0,38.49,0.6589
2,1,254,26_4,energy_resp,0.000,0,200,0,41.88,0.8209
2,1,255,26_5,,,,,,38.09,
2,1,256,26_6,,,,,,37.63,
2,1,257,26_7,,,,,,38.82,
2,1,258,26_8,,,,,,42.78,
2,1,259,26_9,,,,,,39.05,
2,1,260,26_10,,,,,,40.41,
2,1,261,27_1,,,,,,39.35,
2,1,262,27_2,,,,,,36.07,
2,1,263,27_3,,,,,,42.15,
2,1,264,27_4,,,,,,lost,
2,1,265,27_5,,,,,,38.04,
2,1,266,27_6,,,,,,40.72,
2,1,267,27_7,,,,,,37.86,
2,1,268,27_8,,,,,,41.14,
2,1,269,27_9,,,,,,39.12,
2,1,270,27_10,,,,,,35.72,
2,1,271,28_1,,,,,,39.34,
2,1,272,28_2,,,,,,34.69,
2,1,273,28_3,,,,,,39.85,
2,1,274,28_4,,,,,,38.93,
2,1,275,28_5,,,,,,37.71,
2,1,276,28_6,,,,,,39.2,
2,1,277,28_7,,,,,,37.23,
2,1,278,28_8,,,,,,38.89,
2,1,279,28_9,,,,,,36.03,
2,1,280,28_10,,,,,,26,
2,1,281,29_1,,,,,,34.07,
2,1,282,29_2,,,,,,39.63,
2,1,283,29_3,,,,,,lost,
2,1,284,29_4,,,,,,40.32,
2,1,285,29_5,,,,,,38.38,
2,1,286,29_6,,,,,,37.19,
2,1,287,29_7,,,,,,37.12,
2,1,288,29_8,,,,,,35.08,
2,1,289,29_9,,,,,,34.07,
2,1,290,29_10,,,,,,34.48,
2,1,291,30_1,,,,,,34.78,
2,1,292,30_2,,,,,,38.12,
2,1,293,30_3,,,,,,37.8,
2,1,294,30_4,,,,,,36.75,
2,1,295,30_5,,,,,,36.26,
2,1,296,30_6,,,,,,37.21,
2,1,297,30_7,,,,,,39.91,
2,1,298,30_8,,,,,,36.25,
2,1,299,30_9,,,,,,32.75,
2,1,300,30_10,,,,,,37.70,
3,1.5,1,1_1,linearity,0.995,6,10,10,110.2,1.9110
3,1.5,2,1_2,linearity,0.995,6,10,10,109.6,1.8120
3,1.5,3,1_3,linearity,0.995,6,10,10,103.2,1.7940
3,1.5,4,1_4,linearity,0.995,6,10,10,108.3,1.9590
3,1.5,5,1_5,linearity,0.995,6,10,10,107.2,2.2970
