group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead,calibrated_count
1,1.0,88,9_8,linearity,0.995,10.0,500.0,500.0,39.44,27.46,1.0116585916469145,27.780144926624274
1,1.0,89,9_9,linearity,0.995,10.0,500.0,500.0,38.58,23.52,1.0343246976103426,24.32731688779526
1,1.0,90,9_10,linearity,0.995,10.0,1000.0,1000.0,46.59,60.35,0.8557486426815469,51.64443058583136
1,1.0,91,10_1,linearity,0.995,10.0,1000.0,1000.0,43.81,52.12,0.9102943337898803,47.44454067712856
1,1.0,92,10_2,linearity,0.995,10.0,1000.0,1000.0,40.92,49.69,0.9748931079416864,48.44243853362239
1,1.0,93,10_3,linearity,0.995,10.0,1000.0,1000.0,46.76,50.21,0.8526244306016092,42.8102726605068
1,1.0,94,10_4,linearity,0.995,10.0,1000.0,1000.0,37.46,49.5,1.0654117831088672,52.737883263888925
1,1.0,95,10_5,linearity,0.995,10.0,2000.0,2000.0,37.54,99.27,1.0631294384871193,105.53685935861633
1,1.0,96,10_6,linearity,0.995,10.0,2000.0,2000.0,38.14,97.32,1.0463186168014205,101.82772778711423
1,1.0,97,10_7,linearity,0.995,10.0,2000.0,2000.0,39.69,97.55,1.0052547920957944,98.06260496894474
1,1.0,98,10_8,linearity,0.995,10.0,2000.0,2000.0,37.62,114.1,1.0608568515231822,121.04376675879509
1,1.0,99,10_9,linearity,0.995,10.0,2000.0,2000.0,37.88,110.1,1.0535375816543582,115.99448774014483
1,1.0,100,10_10,linearity,0.995,10.0,3000.0,3000.0,38.59,146.2,1.0340553034013826,151.17888535728213
1,1.0,101,11_1,linearity,0.995,10.0,3000.0,3000.0,41.49,152.0,0.9614363638211643,146.13832730081697
1,1.0,102,11_2,linearity,0.995,10.0,3000.0,3000.0,45.95,151.9,0.8677186025830835,131.80645573237038
1,1.0,103,11_3,linearity,0.995,10.0,3000.0,3000.0,37.56,156.8,1.0625603794139782,166.6094674921118
1,1.0,104,11_4,linearity,0.995,10.0,3000.0,3000.0,37.99,140.2,1.0504712826904363,147.27607383319915
