group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead
2,1.0,192,20_2,dose_rate,0.995,10.0,200.0,4000.0,38.48,9.9680,1.01687564320003
2,1.0,193,20_3,dose_rate,0.995,10.0,200.0,4000.0,39.22,10.6800,0.9975716587092738
2,1.0,194,20_4,dose_rate,0.995,10.0,200.0,4000.0,39.22,9.5990,0.9975716587092738
2,1.0,195,20_5,dose_rate,0.995,10.0,200.0,0.0,38.88,0.5964,1.0063492435685504
2,1.0,196,20_6,dose_rate,0.995,10.0,200.0,0.0,41.82,0.5696,0.9351948906693105
2,1.0,197,20_7,dose_rate,0.995,10.0,200.0,0.0,43.23,0.5064,0.9045227542163721
2,1.0,198,20_8,dose_rate,0.995,10.0,200.0,0.0,37.79,0.4709,1.0355607598852115
2,1.0,210,21_10,energy_resp,1.004,0.06,200.0,0.06,38.83,35.7000,1.0076531099011317
2,1.0,211,22_1,energy_resp,1.004,0.06,200.0,0.06,40.61,38.0800,0.9632245840639001
2,1.0,212,22_2,energy_resp,1.004,0.06,200.0,0.06,36.19,33.6100,1.0816484556954216
2,1.0,213,22_3,energy_resp,1.004,0.06,200.0,0.06,36.96,39.9200,1.0589674266678957
2,1.0,214,22_4,energy_resp,1.004,0.06,200.0,0.06,39.4,38.2300,0.992986406764497
2,1.0,215,22_5,energy_resp,1.002,0.1,200.0,0.1,40.85,36.4700,0.9575321832384579
2,1.0,216,22_6,energy_resp,1.002,0.1,200.0,0.1,36.84,35.0700,1.0624393593181303
2,1.0,217,22_7,energy_resp,1.002,0.1,200.0,0.1,40.11,35.8100,0.9753038570862568
2,1.0,218,22_8,energy_resp,1.002,0.1,200.0,0.1,39.06,38.0800,1.0016831345198576
2,1.0,219,22_9,energy_resp,1.002,0.1,200.0,0.1,39.5,35.7600,0.9904572117622569
2,1.0,220,22_10,energy_resp,1.006,0.18,200.0,0.18,38.85,28.4100,1.0071311581361835
2,1.0,221,23_1,energy_resp,1.006,0.18,200.0,0.18,39.57,27.1900,0.9886944276077012
2,1.0,222,23_2,energy_resp,1.006,0.18,200.0,0.18,39.34,28.5700,0.9945101334005614
2,1.0,223,23_3,energy_resp,1.006,0.18,200.0,0.18,38.95,26.6900,1.0045294892943577
2,1.0,224,23_4,energy_resp,1.006,0.18,200.0,0.18,40.69,30.3900,0.9613196118697842
2,1.0,225,23_5,energy_resp,1.003,0.22,200.0,0.22,40.06,17.7800,0.9765284680622413
2,1.0,226,23_6,energy_resp,1.003,0.22,200.0,0.22,38.26,16.4800,1.022759571493209
2,1.0,227,23_7,energy_resp,1.003,0.22,200.0,0.22,39.61,16.2500,0.9876899367238695
2,1.0,228,23_8,energy_resp,1.003,0.22,200.0,0.22,37.92,18.0000,1.031988056987858
2,1.0,229,23_9,energy_resp,1.003,0.22,200.0,0.22,41.71,19.6600,0.9376754558994503
2,1.0,230,23_10,energy_resp,1.002,0.15,200.0,0.15,37.58,29.1400,1.0413845983925851
2,1.0,231,24_1,energy_resp,1.002,0.15,200.0,0.15,38.09,30.2800,1.027353090297762
2,1.0,232,24_2,energy_resp,1.002,0.15,200.0,0.15,37.5,32.2500,1.0436204708168488
2,1.0,233,24_3,energy_resp,1.002,0.15,200.0,0.15,39.16,29.9800,0.9991095007684182
2,1.0,234,24_4,energy_resp,1.002,0.15,200.0,0.15,37.38,27.9300,1.0469923393420268
2,1.0,235,24_5,energy_resp,0.995,6.0,200.0,6.0,38.74,9.8480,1.0100086034833127
2,1.0,236,24_6,energy_resp,0.995,6.0,200.0,6.0,37.58,10.8800,1.0413845983925851
2,1.0,237,24_7,energy_resp,0.995,6.0,200.0,6.0,38.2,9.6720,1.0243761155298357
2,1.0,238,24_8,energy_resp,0.995,6.0,200.0,6.0,38.61,9.8810,1.013430490651115
2,1.0,239,24_9,energy_resp,0.995,6.0,200.0,6.0,38.13,9.9670,1.0262685541344747
2,1.0,240,24_10,energy_resp,0.995,10.0,200.0,10.0,38.39,9.4850,1.0192745026755348
2,1.0,241,25_1,energy_resp,0.995,10.0,200.0,10.0,37.15,9.6220,1.0535163689135996
2,1.0,242,25_2,energy_resp,0.995,10.0,200.0,10.0,38.18,9.5930,1.024916099723981
