group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead,calibrated_count,is_control,mean_control,adjusted_count
1,1.0,79,8_9,linearity,0.995,10.0,250.0,250.0,38.52,14.14,1.03594401517049,14.648248374510729,False,0.6119210270120786,14.014332448820586
1,1.0,80,8_10,linearity,0.995,10.0,250.0,250.0,37.3,12.61,1.0700059977846588,13.492775632064546,False,0.6119210270120786,12.838016462991074
1,1.0,81,9_1,linearity,0.995,10.0,250.0,250.0,40.48,12.41,0.9855412064021603,12.23056637145081,False,0.6119210270120786,11.627492984266476
1,1.0,82,9_2,linearity,0.995,10.0,250.0,250.0,39.29,12.29,1.0155401841505518,12.48098886321028,False,0.6119210270120786,11.85955847075284
1,1.0,83,9_3,linearity,0.995,10.0,250.0,250.0,39.26,12.2,1.016320079746836,12.399104972911397,False,0.6119210270120786,11.777197345939715
1,1.0,84,9_4,linearity,0.995,10.0,500.0,500.0,38.23,25.28,1.0438427394258438,26.388344452685335,False,0.6119210270120786,25.74959513153677
1,1.0,86,9_6,linearity,0.995,10.0,500.0,500.0,37.95,26.77,1.051584233157426,28.150909921624297,False,0.6119210270120786,27.507423417680894
1,1.0,87,9_7,linearity,0.995,10.0,500.0,500.0,41.08,24.48,0.97107789620021,23.77198689898114,False,0.6119210270120786,23.17776391542958
1,1.0,88,9_8,linearity,0.995,10.0,500.0,500.0,39.44,27.46,1.0116585916469145,27.780144926624274,False,0.6119210270120786,27.1610897622381
1,1.0,89,9_9,linearity,0.995,10.0,500.0,500.0,38.58,23.52,1.0343246976103426,24.32731688779526,False,0.6119210270120786,23.694391856569577
1,1.0,90,9_10,linearity,0.995,10.0,1000.0,1000.0,46.59,60.35,0.8557486426815469,51.64443058583136,False,0.6119210270120786,51.120779997537475
1,1.0,91,10_1,linearity,0.995,10.0,1000.0,1000.0,43.81,52.12,0.9102943337898803,47.44454067712856,False,0.6119210270120786,46.88751243351258
1,1.0,92,10_2,linearity,0.995,10.0,1000.0,1000.0,40.92,49.69,0.9748931079416864,48.44243853362239,False,0.6119210270120786,47.84588094178372
1,1.0,93,10_3,linearity,0.995,10.0,1000.0,1000.0,46.76,50.21,0.8526244306016092,42.8102726605068,False,0.6119210270120786,42.28853384327747
1,1.0,94,10_4,linearity,0.995,10.0,1000.0,1000.0,37.46,49.5,1.0654117831088672,52.737883263888925,False,0.6119210270120786,52.08593539137818
1,1.0,95,10_5,linearity,0.995,10.0,2000.0,2000.0,37.54,99.27,1.0631294384871193,105.53685935861633,False,0.6119210270120786,104.88630810077052
1,1.0,96,10_6,linearity,0.995,10.0,2000.0,2000.0,38.14,97.32,1.0463186168014205,101.82772778711423,False,0.6119210270120786,101.18746342453926
1,1.0,97,10_7,linearity,0.995,10.0,2000.0,2000.0,39.69,97.55,1.0052547920957944,98.06260496894474,False,0.6119210270120786,97.44746842415667
1,1.0,98,10_8,linearity,0.995,10.0,2000.0,2000.0,37.62,114.1,1.0608568515231822,121.04376675879509,False,0.6119210270120786,120.39460614469823
1,1.0,99,10_9,linearity,0.995,10.0,2000.0,2000.0,37.88,110.1,1.0535375816543582,115.99448774014483,False,0.6119210270120786,115.34980594118308
1,1.0,100,10_10,linearity,0.995,10.0,3000.0,3000.0,38.59,146.2,1.0340553034013826,151.17888535728213,False,0.6119210270120786,150.54612517403748
1,1.0,101,11_1,linearity,0.995,10.0,3000.0,3000.0,41.49,152.0,0.9614363638211643,146.13832730081697,False,0.6119210270120786,145.55000417366077
1,1.0,102,11_2,linearity,0.995,10.0,3000.0,3000.0,45.95,151.9,0.8677186025830835,131.80645573237038,False,0.6119210270120786,131.27548047392028
1,1.0,103,11_3,linearity,0.995,10.0,3000.0,3000.0,37.56,156.8,1.0625603794139782,166.6094674921118,False,0.6119210270120786,165.95926445347845
1,1.0,104,11_4,linearity,0.995,10.0,3000.0,3000.0,37.99,140.2,1.0504712826904363,147.27607383319915,False,0.6119210270120786,146.63326836704854
1,1.0,105,11_5,linearity,0.995,10.0,5000.0,5000.0,37.25,246.7,1.071449826415914,264.32667217680597,False,0.6119210270120786,263.67102949863363
1,1.0,106,11_6,linearity,0.995,10.0,5000.0,5000.0,39.41,250.8,1.0124325345391483,253.9180796624184,False,0.6119210270120786,253.29855090610278
1,1.0,107,11_7,linearity,0.995,10.0,5000.0,5000.0,37.34,269.2,1.0688537335646477,287.7354250756032,False,0.6119210270120786,287.0813710012346
1,1.0,108,11_8,linearity,0.995,10.0,5000.0,5000.0,45.48,255.9,0.8767245106401668,224.35380227281868,False,0.6119210270120786,223.81731610986108
1,1.0,110,11_10,linearity,0.995,10.0,0.0,0.0,38.82,0.5604,1.027897736959499,0.5760338917921033,True,0.6119210270120786,-0.05295834707154483
1,1.0,111,12_1,linearity,0.995,10.0,0.0,0.0,39.91,0.5331,0.9996861398432715,0.532932681150448,True,0.6119210270120786,-0.0787962882321871
1,1.0,112,12_2,linearity,0.995,10.0,0.0,0.0,37.54,0.5327,1.0631294384871193,0.5663290518820884,True,0.6119210270120786,-0.08422220596372411
1,1.0,113,12_3,linearity,0.995,10.0,0.0,0.0,37.18,0.6763,1.0734777450155004,0.725992998953983,True,0.6119210270120786,0.06910939474948767
1,1.0,114,12_4,linearity,0.995,10.0,0.0,0.0,38.98,0.6064,1.0236572857673505,0.6207457780893214,True,0.6119210270120786,-0.005651639525832576
1,1.0,115,12_5,dose_rate,0.995,6.0,200.0,600.0,37.63,9.494,1.0605734611223063,10.069084439895176,False,0.6119210270120786,9.420097238343459
1,1.0,116,12_6,dose_rate,0.995,6.0,200.0,600.0,36.8,9.313,1.0846217823489923,10.101082659016166,False,0.6119210270120786,9.4373797840415
1,1.0,117,12_7,dose_rate,0.995,6.0,200.0,600.0,37.69,9.969,1.058876293157949,10.555937766491592,False,0.6119210270120786,9.907989097703638
1,1.0,118,12_8,dose_rate,0.995,6.0,200.0,600.0,37.88,9.885,1.0535375816543582,10.41421899465333,False,0.6119210270120786,9.769537195691575
1,1.0,119,12_9,dose_rate,0.995,6.0,200.0,600.0,38.52,10.01,1.03594401517049,10.369799591856605,False,0.6119210270120786,9.735883666166462
1,1.0,120,12_10,dose_rate,0.995,6.0,200.0,500.0,39.33,10.47,1.0145021833592796,10.621837859771658,False,0.6119210270120786,10.001042641824451
1,1.0,122,13_2,dose_rate,0.995,6.0,200.0,500.0,45.33,10.01,0.8796382190831459,8.80517857302229,False,0.6119210270120786,8.266909450601856
1,1.0,123,13_3,dose_rate,0.995,6.0,200.0,500.0,37.97,9.649,1.0510274632935726,10.14136399331968,False,0.6119210270120786,9.498218188563179
1,1.0,124,13_4,dose_rate,0.995,6.0,200.0,500.0,40.04,9.474,0.996424477458207,9.440125499439052,False,0.6119210270120786,8.830392409852854
1,1.0,125,13_5,dose_rate,0.995,6.0,200.0,500.0,38.52,9.538,1.03594401517049,9.880834016696133,False,0.6119210270120786,9.246918091005991
1,1.0,126,13_6,dose_rate,0.995,6.0,200.0,400.0,37.6,9.808,1.0614240869076494,10.410447444390226,False,0.6119210270120786,9.760939727034339
1,1.0,127,13_7,dose_rate,0.995,6.0,200.0,400.0,40.63,10.29,0.9818851378757959,10.103598068741938,False,0.6119210270120786,9.502761906765086
1,1.0,128,13_8,dose_rate,0.995,6.0,200.0,400.0,39.82,9.785,1.0019567509114977,9.804146807669005,False,0.6119210270120786,9.191028403629556
1,1.0,129,13_9,dose_rate,0.995,6.0,200.0,400.0,39.92,10.24,0.9994344848246574,10.234209124604492,False,0.6119210270120786,9.6226341482193
